id,title,body,author,slug
0,1 Year Fixed Home Loan,1-year-fixed-home-loans.html,Darin Hindmarsh,1-year-fixed-home-loans
1,10 Year Fixed Rate Home Loan,10-year-fixed-rate-home-loan.html,Darin Hindmarsh,10-year-fixed-rate-home-loan
2,15 Year Fixed Rate Home Loan,15-year-fixed-rate-home-loan.html,Darin Hindmarsh,15-year-fixed-rate-home-loan
3,3 Year Fixed Rate Home Loan,3-year-fixed-rate-home-loan.html,Darin Hindmarsh,3-year-fixed-rate-home-loan
4,5 Year Fixed Rate Home Loan,5-year-fixed-rate-home-loan.html,Darin Hindmarsh,5-year-fixed-rate-home-loan
5,90% Home Loan,90-home-loan.html,Darin Hindmarsh,90-home-loan
6,95% Home Loan,95-home-loan.html,Darin Hindmarsh,95-home-loan
7,About Us,about.html,Darin Hindmarsh,about
8,Articles Bad Credit Car Loans,articles-bad-credit-car-loans.html,Darin Hindmarsh,articles-bad-credit-car-loans
9,Asset Finance,asset-finance.html,Darin Hindmarsh,asset-finance
10,Asset Finance Articles and Videos,asset-finance-articles-videos.html,Darin Hindmarsh,asset-finance-articles-videos
11,Asset Finance Videos,asset-finance-videos.html,Darin Hindmarsh,asset-finance-videos
12,Bad Credit Car Finance Process,bad-credit-car-finance-process.html,Darin Hindmarsh,bad-credit-car-finance-process
13,Bad Credit Car Loan Videos,bad-credit-car-loan-videos.html,Darin Hindmarsh,bad-credit-car-loan-videos
14,Bad Credit Car Loans,bad-credit-car-loans.html,Darin Hindmarsh,bad-credit-car-loans
15,Bad Credit Equipment Finance,bad-credit-equipment-finance.html,Darin Hindmarsh,bad-credit-equipment-finance
16,Bad Credit Home Loan Articles,bad-credit-home-loan-articles.html,Darin Hindmarsh,bad-credit-home-loan-articles
17,Bad Credit Home Loans,bad-credit-home-loans.html,Darin Hindmarsh,bad-credit-home-loans
18,Bad Credit Home Loans,bad-credit-home-loans-2.html,Darin Hindmarsh,bad-credit-home-loans-2
19,Bad Credit Home Loans,bad-credit-home-loans-3.html,Darin Hindmarsh,bad-credit-home-loans-3
20,Bad Credit Home Loans Australia,bad-credit-home-loans-australia.html,Darin Hindmarsh,bad-credit-home-loans-australia
21,Bad Credit Home Loans Australia,bad-credit-home-loans-australia-2.html,Darin Hindmarsh,bad-credit-home-loans-australia-2
22,Bad Credit Home Loans Videos,bad-credit-home-loans-videos.html,Darin Hindmarsh,bad-credit-home-loans-videos
23,Bad Credit Loans Australia Guaranteed Approval,bad-credit-loans-australia-guaranteed-approval.html,Darin Hindmarsh,bad-credit-loans-australia-guaranteed-approval
24,Bad Credit Loans Australia Guaranteed Approval,bad-credit-loans-australia-guaranteed-approval-2.html,Darin Hindmarsh,bad-credit-loans-australia-guaranteed-approval-2
